ID,Name,Age,Salary,City,Experience_Years
1,User_1,30,57623,Bangalore,0
2,User_2,55,99164,Mumbai,8
3,User_3,29,19110,Nagpur,7
4,User_4,59,28410,Pune,9
5,User_5,34,42915,Delhi,14
6,User_6,23,96806,Delhi,13
7,User_7,40,49202,Delhi,14
8,User_8,41,80813,Nagpur,13
9,User_9,43,45251,Mumbai,11
10,User_10,44,61908,Bangalore,6
11,User_11,33,25071,Bangalore,8
12,User_12,27,40649,Nagpur,6
13,User_13,52,36264,Bangalore,4
14,User_14,24,20051,Pune,9
15,User_15,39,26616,Delhi,13
16,User_16,49,22827,Nagpur,14
17,User_17,57,80710,Nagpur,3
18,User_18,52,58975,Mumbai,2
19,User_19,43,79783,Pune,2
20,User_20,38,53645,Delhi,3
21,User_21,47,28449,Nagpur,2
22,User_22,53,29924,Nagpur,5
23,User_23,50,33119,Pune,8
24,User_24,30,32426,Delhi,11
25,User_25,34,88014,Bangalore,8
26,User_26,25,28720,Delhi,13
27,User_27,47,55461,Bangalore,10
28,User_28,56,76882,Pune,3
29,User_29,20,28050,Pune,2
30,User_30,40,47915,Pune,5
31,User_31,47,46698,Mumbai,9
32,User_32,48,20637,Nagpur,2
33,User_33,31,81908,Pune,5
34,User_34,28,60196,Delhi,1
35,User_35,37,61378,Nagpur,1
36,User_36,25,23190,Bangalore,4
37,User_37,47,27289,Mumbai,5
38,User_38,29,34970,Nagpur,5
39,User_39,57,67708,Bangalore,14
40,User_40,37,77753,Nagpur,8
41,User_41,53,89392,Pune,8
42,User_42,44,28638,Bangalore,0
43,User_43,23,33004,Mumbai,9
44,User_44,42,54919,Mumbai,14
45,User_45,38,99953,Nagpur,10
46,User_46,34,91037,Mumbai,0
47,User_47,31,26630,Bangalore,10
48,User_48,27,48514,Delhi,5
49,User_49,49,44676,Pune,3
50,User_50,53,51355,Mumbai,1
51,User_51,59,73469,Nagpur,8
52,User_52,58,85470,Nagpur,13
53,User_53,35,34139,Mumbai,4
54,User_54,25,89415,Bangalore,13
55,User_55,50,91442,Delhi,10
56,User_56,40,15028,Delhi,13
57,User_57,26,48806,Nagpur,5
58,User_58,26,70830,Mumbai,10
59,User_59,32,98916,Mumbai,4
60,User_60,50,28543,Mumbai,10
61,User_61,24,72192,Mumbai,14
62,User_62,19,93975,Pune,10
63,User_63,25,95258,Bangalore,6
64,User_64,21,68155,Delhi,4
65,User_65,47,40758,Delhi,2
66,User_66,19,71207,Pune,1
67,User_67,50,69585,Mumbai,10
68,User_68,54,92950,Pune,9
69,User_69,24,58314,Mumbai,14
70,User_70,55,41785,Bangalore,5
71,User_71,23,57054,Mumbai,12
72,User_72,30,23725,Delhi,4
73,User_73,48,78491,Bangalore,0
74,User_74,56,74775,Pune,4
75,User_75,48,86481,Mumbai,8
76,User_76,45,53393,Bangalore,3
77,User_77,24,75061,Delhi,10
78,User_78,45,94146,Pune,11
79,User_79,35,71621,Bangalore,9
80,User_80,49,19789,Bangalore,1
81,User_81,59,23220,Bangalore,9
82,User_82,28,43342,Delhi,1
83,User_83,28,33770,Delhi,13
84,User_84,33,42303,Nagpur,3
85,User_85,36,21731,Nagpur,2
86,User_86,46,92401,Pune,14
87,User_87,53,83334,Bangalore,11
88,User_88,29,75816,Nagpur,3
89,User_89,27,37211,Pune,2
90,User_90,31,75880,Nagpur,7
91,User_91,20,51638,Delhi,11
92,User_92,33,26583,Nagpur,14
93,User_93,25,31138,Bangalore,11
94,User_94,24,91271,Pune,13
95,User_95,37,69715,Pune,5
96,User_96,47,97165,Nagpur,13
97,User_97,34,43496,Nagpur,2
98,User_98,56,59811,Bangalore,1
99,User_99,50,98094,Bangalore,11
100,User_100,34,37574,Mumbai,13
101,User_101,18,36866,Mumbai,13
102,User_102,58,60069,Pune,7
103,User_103,34,38942,Delhi,1
104,User_104,27,45673,Mumbai,0
105,User_105,52,65007,Delhi,1
106,User_106,29,59934,Mumbai,11
107,User_107,45,89547,Mumbai,13
108,User_108,20,94490,Pune,14
109,User_109,28,54870,Delhi,10
110,User_110,59,82301,Bangalore,14
111,User_111,53,87548,Pune,4
112,User_112,44,48034,Bangalore,7
113,User_113,38,16034,Pune,13
114,User_114,30,71113,Bangalore,1
115,User_115,20,31957,Delhi,3
116,User_116,59,16574,Nagpur,11
117,User_117,50,99711,Nagpur,1
118,User_118,20,66105,Pune,11
119,User_119,51,31839,Nagpur,0
120,User_120,18,96866,Mumbai,4
121,User_121,29,68575,Delhi,6
122,User_122,36,77681,Bangalore,12
123,User_123,32,82438,Mumbai,4
124,User_124,25,79777,Mumbai,8
125,User_125,54,83598,Bangalore,4
126,User_126,42,76840,Nagpur,7
127,User_127,21,27216,Delhi,0
128,User_128,48,89753,Delhi,11
129,User_129,18,47504,Bangalore,12
130,User_130,37,19644,Nagpur,4
131,User_131,23,40599,Pune,8
132,User_132,45,73833,Mumbai,12
133,User_133,41,50821,Bangalore,9
134,User_134,56,55584,Pune,9
135,User_135,24,93053,Mumbai,12
136,User_136,30,34668,Delhi,5
137,User_137,54,29802,Delhi,6
138,User_138,52,45716,Pune,7
139,User_139,39,93649,Delhi,13
